dataset_id,dataset_title,publisher,resource_id,resource_title,resource_url,resource_format,license,geo_granularity,temporal_granularity,available_years,fields_summary,access_notes
agri-1,District wise Season wise Crop Production Statistics,Ministry of Agriculture & Farmers Welfare,agri-1-csv,district_crop_production.csv,https://data.gov.in/resource/district-wise-season-wise-crop-production-statistics,csv,Open Government Licence,district,seasonal,2001-2014,"['State_Name','District_Name','Crop_Year','Season','Crop','Area','Production']",HTTP 302 - High priority - district level crop production data
agri-2,State wise Estimates of Principal Crops,Ministry of Agriculture & Farmers Welfare,agri-2-csv,state_crop_estimates.csv,https://data.gov.in/sites/default/files/datafile/State%20wise%20estimates%20of%20principal%20crops.csv,csv,Open Government Licence,state,yearly,2001-2014,"['State_Name','Crop_Year','Crop','Area','Production','Productivity']",HTTP 302 - Medium priority - state level aggregated data
agri-3,Agricultural Statistics at a Glance,Department of Agriculture & Cooperation,agri-3-xlsx,agricultural_statistics.xlsx,https://data.gov.in/sites/default/files/datafile/Agricultural%20Statistics%20at%20a%20Glance%202014.xlsx,xlsx,Open Government Licence,state,yearly,2000-2014,"['State','Crop','Area_000_ha','Production_000_tonnes','Yield_kg_ha']",HTTP 302 - Medium priority - comprehensive agricultural statistics
agri-4,Crop Wise Area Production and Productivity,Ministry of Agriculture & Farmers Welfare,agri-4-csv,crop_area_production.csv,https://data.gov.in/sites/default/files/datafile/Crop%20wise%20area%20production%20and%20productivity.csv,csv,Open Government Licence,national,yearly,1950-2014,"['Crop','Year','Area_million_ha','Production_million_tonnes','Productivity_kg_ha']",Medium priority - national level crop trends
agri-5,Minimum Support Price of Crops,Commission for Agricultural Costs and Prices,agri-5-csv,msp_crops.csv,https://data.gov.in/sites/default/files/datafile/Minimum%20Support%20Price%20of%20Crops.csv,csv,Open Government Licence,national,yearly,1966-2015,"['Crop','Year','MSP_Rs_per_quintal']","Low priority - pricing data, not production"
climate-1,District wise Rainfall Normal,India Meteorological Department,climate-1-csv,district_rainfall_normal.csv,https://data.gov.in/resource/district-wise-rainfall-normal,csv,Open Government Licence,district,monthly,1951-2000,"['State','District','Jan','Feb','Mar','Apr','May','Jun','Jul','Aug','Sep','Oct','Nov','Dec','Annual']",High priority - district level rainfall normals
climate-2,State wise Monthly Rainfall,India Meteorological Department,climate-2-csv,state_monthly_rainfall.csv,https://data.gov.in/sites/default/files/datafile/State%20wise%20monthly%20rainfall.csv,csv,Open Government Licence,state,monthly,1901-2015,"['State','Year','Jan','Feb','Mar','Apr','May','Jun','Jul','Aug','Sep','Oct','Nov','Dec','Annual']",High priority - long term state rainfall data
climate-3,IMD Gridded Rainfall Data,India Meteorological Department,climate-3-nc,imd_gridded_rainfall.nc,https://www.imd.gov.in/pages/gridded_data.php,netcdf,IMD Terms of Use,gridded,daily,1901-present,"['longitude','latitude','time','precipitation']",Requires IMD registration and approval - contact imdpune@gmail.com
climate-4,All India Monsoon Rainfall,India Meteorological Department,climate-4-txt,all_india_monsoon.txt,https://data.gov.in/sites/default/files/datafile/All%20India%20Monsoon%20Rainfall.txt,txt,Open Government Licence,national,seasonal,1871-2015,"['Year','Jun_Sep_Rainfall_mm','Departure_from_LPA_percent']",Medium priority - national monsoon trends
live-1,Live Market Prices,Ministry of Agriculture & Farmers Welfare,9ef84268-d588-465a-a308-a864a43d0070,Daily Market Prices,https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070,json,Open Government Licence,district,daily,current,"['state','district','market','commodity','variety','grade','arrival_date','min_price','max_price','modal_price']",Live API - Real-time commodity prices from mandis
live-2,Live Agriculture Production,Ministry of Agriculture & Farmers Welfare,3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69,Current Crop Production,https://api.data.gov.in/resource/3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69,json,Open Government Licence,state,seasonal,current,"['state','district','crop','season','area','production']",Live API - Current season production data
fallback-1,CHIRPS Rainfall Data (Fallback),USGS/CHG,chirps-1,CHIRPS Monthly Precipitation,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,netcdf,Public Domain,gridded,monthly,1981-present,precipitation (mm/month),Fallback dataset - requires processing for Indian districts
